frames_per_video,seed,reference_count,test_roc_auc,test_eer,roc_auc_ci_low,roc_auc_ci_high,eer_ci_low,eer_ci_high,test_positive_pairs,test_negative_pairs,far_0.01_threshold,far_0.01_validation_tar,far_0.01_validation_far,far_0.01_validation_frr,far_0.01_test_tar,far_0.01_test_far,far_0.01_test_frr,far_0.001_threshold,far_0.001_validation_tar,far_0.001_validation_far,far_0.001_validation_frr,far_0.001_test_tar,far_0.001_test_far,far_0.001_test_frr
1,20260805,1,0.9999962428379097,0.0003851091142490372,0.9999858790028214,1.0,0.0,0.0007137592577167681,205,7790,0.15734857320785525,1.0,0.009339080459770116,0.0,1.0,0.018228498074454428,0.0,0.2275883257389069,1.0,0.0007183908045977011,0.0,1.0,0.0008985879332477536,0.0
1,20260805,3,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,205,7790,0.17023599147796634,1.0,0.009339080459770116,0.0,1.0,0.014249037227214377,0.0,0.2547936141490937,1.0,0.0007183908045977011,0.0,1.0,0.00025673940949935817,0.0
1,20260805,5,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,205,7790,0.17888674139976504,1.0,0.009339080459770116,0.0,1.0,0.010397946084724006,0.0,0.2477759122848511,1.0,0.0007183908045977011,0.0,1.0,0.0006418485237483953,0.0
1,20260806,1,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,207,7866,0.15837448835372928,1.0,0.009558823529411765,0.0,1.0,0.011187388761759471,0.0,0.18187499046325686,1.0,0.0007352941176470588,0.0,1.0,0.005339435545385202,0.0
1,20260806,3,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,207,7866,0.16921405494213107,1.0,0.009558823529411765,0.0,1.0,0.010551741673023137,0.0,0.2114980071783066,1.0,0.0007352941176470588,0.0,1.0,0.0021612001017035343,0.0
1,20260806,5,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,207,7866,0.1719719618558884,1.0,0.009558823529411765,0.0,1.0,0.010551741673023137,0.0,0.210204690694809,1.0,0.0007352941176470588,0.0,1.0,0.0024154589371980675,0.0
1,20260807,1,0.9999967431759766,0.0003273108143493061,0.9999867762227731,1.0,0.0,0.0006205718623481776,201,7638,0.18622106313705447,1.0,0.009615384615384616,0.0,1.0,0.0034040324692327832,0.0,0.23643060028553012,1.0,0.0006868131868131869,0.0,0.9950248756218906,0.0005236973029588898,0.004975124378109453
1,20260807,3,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,201,7638,0.1865213215351105,1.0,0.009615384615384616,0.0,1.0,0.004975124378109453,0.0,0.2441866844892502,1.0,0.0006868131868131869,0.0,1.0,0.00039277297721916735,0.0
1,20260807,5,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,201,7638,0.18665143847465518,1.0,0.009615384615384616,0.0,1.0,0.0054988216810683424,0.0,0.25706148147583013,1.0,0.0006868131868131869,0.0,1.0,0.00013092432573972245,0.0
1,20260808,1,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,203,7714,0.18932400643825534,1.0,0.009831460674157303,0.0,1.0,0.0024630541871921183,0.0,0.23653805255889895,1.0,0.0007022471910112359,0.0,1.0,0.000388903292714545,0.0
1,20260808,3,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,203,7714,0.18943208456039431,1.0,0.009831460674157303,0.0,1.0,0.002851957479906663,0.0,0.23564803600311282,1.0,0.0007022471910112359,0.0,1.0,0.00025926886180969663,0.0
1,20260808,5,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,203,7714,0.19813454151153567,1.0,0.009831460674157303,0.0,1.0,0.00233341975628727,0.0,0.24975603818893435,1.0,0.0007022471910112359,0.0,1.0,0.0,0.0
1,20260809,1,0.9999975194844496,0.0002554931016862545,0.9999885587193393,1.0,0.0,0.0006325910931174089,206,7828,0.16399584710597995,1.0,0.00944767441860465,0.0,1.0,0.009964230965763925,0.0,0.1944258809089661,1.0,0.0007267441860465116,0.0,1.0,0.003832396525293817,0.0
1,20260809,3,0.9999993798711124,6.387327542156362e-05,0.9999964868561578,1.0,0.0,0.0001911801189338902,206,7828,0.17479640245437625,1.0,0.00944767441860465,0.0,1.0,0.008559018906489526,0.0,0.2245261073112488,1.0,0.0007267441860465116,0.0,1.0,0.0014052120592743995,0.0
1,20260809,5,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,206,7828,0.17942881584167483,1.0,0.00944767441860465,0.0,1.0,0.007664793050587634,0.0,0.24034576117992404,1.0,0.0007267441860465116,0.0,1.0,0.0011497189575881452,0.0
5,20260805,1,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,204,7752,0.17767542600631717,1.0,0.009339080459770116,0.0,1.0,0.011480908152734778,0.0,0.25048026442527777,1.0,0.0007183908045977011,0.0,1.0,0.0009029927760577915,0.0
5,20260805,3,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,204,7752,0.18467153608798983,1.0,0.009339080459770116,0.0,1.0,0.01238390092879257,0.0,0.2823836207389832,1.0,0.0007183908045977011,0.0,1.0,0.00025799793601651185,0.0
