condition,seed,reference_count,eligible_subject_count,validation_subject_count,test_subject_count,test_positive_pairs,test_negative_pairs,test_roc_auc,test_eer,roc_auc_ci_low,roc_auc_ci_high,eer_ci_low,eer_ci_high,far_0.01_clean_locked_threshold,far_0.01_clean_locked_validation_tar,far_0.01_clean_locked_validation_far,far_0.01_clean_locked_validation_frr,far_0.01_clean_locked_test_tar,far_0.01_clean_locked_test_far,far_0.01_clean_locked_test_frr,far_0.01_condition_calibrated_threshold,far_0.01_condition_calibrated_validation_tar,far_0.01_condition_calibrated_validation_far,far_0.01_condition_calibrated_validation_frr,far_0.01_condition_calibrated_test_tar,far_0.01_condition_calibrated_test_far,far_0.01_condition_calibrated_test_frr,far_0.01_threshold_shift,far_0.001_clean_locked_threshold,far_0.001_clean_locked_validation_tar,far_0.001_clean_locked_validation_far,far_0.001_clean_locked_validation_frr,far_0.001_clean_locked_test_tar,far_0.001_clean_locked_test_far,far_0.001_clean_locked_test_frr,far_0.001_condition_calibrated_threshold,far_0.001_condition_calibrated_validation_tar,far_0.001_condition_calibrated_validation_far,far_0.001_condition_calibrated_validation_frr,far_0.001_condition_calibrated_test_tar,far_0.001_condition_calibrated_test_far,far_0.001_condition_calibrated_test_frr,far_0.001_threshold_shift
clean,20260805,3,56,17,39,204,7752,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.1846604645252228,1.0,0.009339080459770116,0.0,1.0,0.01238390092879257,0.0,0.1846604645252228,1.0,0.009339080459770116,0.0,1.0,0.01238390092879257,0.0,0.0,0.2823567390441895,1.0,0.0007183908045977011,0.0,1.0,0.00025799793601651185,0.0,0.2823567390441895,1.0,0.0007183908045977011,0.0,1.0,0.00025799793601651185,0.0,0.0
combined_mobile_stress,20260805,3,56,17,39,204,7752,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.1846604645252228,1.0,0.009339080459770116,0.0,1.0,0.009416924664602684,0.0,0.18342855572700503,1.0,0.009339080459770116,0.0,1.0,0.009416924664602684,0.0,-0.0012319087982177734,0.2823567390441895,1.0,0.0007183908045977011,0.0,1.0,0.00012899896800825592,0.0,0.2822603285312653,1.0,0.0007183908045977011,0.0,1.0,0.00012899896800825592,0.0,-9.641051292419434e-05
downscale_0_25,20260805,3,56,17,39,204,7752,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.1846604645252228,1.0,0.009339080459770116,0.0,1.0,0.011609907120743035,0.0,0.18353217840194705,1.0,0.009339080459770116,0.0,1.0,0.011996904024767802,0.0,-0.0011282861232757568,0.2823567390441895,1.0,0.0014367816091954023,0.0,1.0,0.00025799793601651185,0.0,0.3019272685050965,1.0,0.0007183908045977011,0.0,1.0,0.0,0.0,0.019570529460906982
gaussian_blur_sigma2,20260805,3,56,17,39,204,7752,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.1846604645252228,1.0,0.009339080459770116,0.0,1.0,0.012254901960784314,0.0,0.17952750623226169,1.0,0.009339080459770116,0.0,1.0,0.01393188854489164,0.0,-0.005132958292961121,0.2823567390441895,1.0,0.0014367816091954023,0.0,1.0,0.00025799793601651185,0.0,0.2914899289608002,1.0,0.0007183908045977011,0.0,1.0,0.00025799793601651185,0.0,0.009133189916610718
jpeg_q30,20260805,3,56,17,39,204,7752,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.1846604645252228,1.0,0.010057471264367816,0.0,1.0,0.01302889576883385,0.0,0.1903154104948044,1.0,0.009339080459770116,0.0,1.0,0.010577915376676987,0.0,0.005654945969581604,0.2823567390441895,1.0,0.0021551724137931034,0.0,1.0,0.0003869969040247678,0.0,0.29105025529861456,1.0,0.0007183908045977011,0.0,1.0,0.00025799793601651185,0.0,0.008693516254425049
low_light_gamma2,20260805,3,56,17,39,204,7752,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.1846604645252228,1.0,0.009339080459770116,0.0,1.0,0.011480908152734778,0.0,0.1830975711345673,1.0,0.009339080459770116,0.0,1.0,0.011996904024767802,0.0,-0.0015628933906555176,0.2823567390441895,1.0,0.0007183908045977011,0.0,1.0,0.00025799793601651185,0.0,0.2797673344612122,1.0,0.0007183908045977011,0.0,1.0,0.00025799793601651185,0.0,-0.002589404582977295
clean,20260806,3,56,17,39,207,7866,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.16611224412918094,1.0,0.009672619047619048,0.0,1.0,0.01474701245868294,0.0,0.16611224412918094,1.0,0.009672619047619048,0.0,1.0,0.01474701245868294,0.0,0.0,0.1977811008691788,1.0,0.000744047619047619,0.0,1.0,0.005085176709890669,0.0,0.1977811008691788,1.0,0.000744047619047619,0.0,1.0,0.005085176709890669,0.0,0.0
combined_mobile_stress,20260806,3,56,17,39,207,7866,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.16611224412918094,1.0,0.004464285714285714,0.0,1.0,0.012967200610221205,0.0,0.15843710303306582,1.0,0.009672619047619048,0.0,1.0,0.01703534197813374,0.0,-0.007675141096115112,0.1977811008691788,1.0,0.001488095238095238,0.0,1.0,0.0047037884566488684,0.0,0.20595964789390567,1.0,0.000744047619047619,0.0,1.0,0.003559623696923468,0.0,0.008178547024726868
downscale_0_25,20260806,3,56,17,39,207,7866,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,0.16611224412918094,1.0,0.006696428571428571,0.0,1.0,0.014492753623188406,0.0,0.15903061628341678,1.0,0.009672619047619048,0.0,1.0,0.01792524790236461,0.0,-0.00708162784576416,0.1977811008691788,1.0,0.001488095238095238,0.0,1.0,0.005212306127637936,0.0,0.19797310233116153,1.0,0.000744047619047619,0.0,1.0,0.005212306127637936,0.0,0.00019200146198272705
gaussian_blur_sigma2,20260806,3,56,17,39,207,7866,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,0.16611224412918094,1.0,0.010416666666666666,0.0,1.0,0.01512840071192474,0.0,0.16621217131614688,1.0,0.009672619047619048,0.0,1.0,0.01512840071192474,0.0,9.992718696594238e-05,0.1977811008691788,1.0,0.000744047619047619,0.0,1.0,0.004576659038901602,0.0,0.1907554864883423,1.0,0.000744047619047619,0.0,1.0,0.006610729722857869,0.0,-0.007025614380836487
jpeg_q30,20260806,3,56,17,39,207,7866,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,0.16611224412918094,1.0,0.010416666666666666,0.0,1.0,0.014874141876430207,0.0,0.16664485633373263,1.0,0.009672619047619048,0.0,1.0,0.014874141876430207,0.0,0.0005326122045516968,0.1977811008691788,1.0,0.000744047619047619,0.0,1.0,0.005975082634121536,0.0,0.18863834440708163,1.0,0.000744047619047619,0.0,1.0,0.008644800406814137,0.0,-0.009142756462097168
low_light_gamma2,20260806,3,56,17,39,207,7866,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,0.16611224412918094,1.0,0.012648809523809524,0.0,1.0,0.012967200610221205,0.0,0.17390462756156924,1.0,0.009672619047619048,0.0,1.0,0.009788965166539538,0.0,0.007792383432388306,0.1977811008691788,1.0,0.001488095238095238,0.0,1.0,0.004449529621154335,0.0,0.21798893809318545,1.0,0.000744047619047619,0.0,1.0,0.001779811848461734,0.0,0.020207837224006653
